意图,回应
付款货币,爱彼迎支持多种不同的货币，让您在接待或入住我们时更加灵活。输入付款信息时选择使用首选货币付款，或随时更改默认货币。根据您的付款方式，某些货币可能不可用。货币换算 爱彼迎 以您选择的货币显示价格。如果您在预订时更改货币，价格将自动更新为新货币。当您准备好完成预订时，结帐页面也会显示新货币。第三方费用 如果您选择使用与您的默认付款方式不匹配的货币，您的银行或信用卡公司可能会对您的付款收取货币兑换费。 爱彼迎 不对这些费用负责，因此请联络您的银行或信用卡公司以了解更多信息。跨境费用 如果您的银行对帐单上出现额外费用，或者收取的金额与爱彼迎结帐页面上显示的金额不同，这可能是原因：如果您的银行或信用卡公司将爱彼迎的处理实体归类为国际，它可能会收取费用跨境费用——即使费用是以您的付款方式的标准货币处理的。 爱彼迎 无法管理也无法退款这些费用，因此请联络您的银行或信用卡公司以了解更多信息。
Paypal付款,根据您使用的支付货币，PayPal 可能可以作为一种支付方式。如果 PayPal 可用，您将能够在结帐页面上选择它。如果您没有看到 PayPal 选项，则需要切换到符合条件的货币或选择其他付款方式。选择 PayPal 作为付款方式后，将弹出一个新的浏览器窗口，您将被带到 PayPal 网站上的登录屏幕： 登录到您的 PayPal 帐户 选择您关联的一种付款方式（例如：信用卡卡或银行账户）在选择支付方式下点击继续 确认支付方式，阅读 PayPal 的政策，然后点击同意并继续 您将被带回 爱彼迎 的结帐页面，您可以在其中确认并支付您的 爱彼迎 预订。一旦 PayPal 授权全额支付预订费用，您的预订请求将被发送（或您的 Instant Book 预订将被确认）。只有在您的预订得到确认后才会向您收费。如果您的预订请求被取消、拒绝或过期，则 PayPal 授权将失效，您无需支付任何费用。您可能需要将银行账户或信用卡与您的 PayPal 账户相关联，才能完成您的爱彼迎预订。仅当您的主要方法未通过时，才会使用此备用付款来源。 PayPal 网站提供了有关选择首选付款方式的更多信息。
PayU 付款,根据您使用的支付货币，PayPal 可能可以作为一种支付方式。如果 PayPal 可用，您将能够在结帐页面上选择它。如果您没有看到 PayPal 选项，则需要切换到符合条件的货币或选择其他付款方式。选择 PayPal 作为付款方式后，将弹出一个新的浏览器窗口，您将被带到 PayPal 网站上的登录屏幕： 登录到您的 PayPal 帐户 选择您关联的一种付款方式（例如：信用卡卡或银行账户）在选择支付方式下点击继续 确认支付方式，阅读 PayPal 的政策，然后点击同意并继续 您将被带回 爱彼迎 的结帐页面，您可以在其中确认并支付您的 爱彼迎 预订。一旦 PayPal 授权全额支付预订费用，您的预订请求将被发送（或您的 Instant Book 预订将被确认）。只有在您的预订得到确认后才会向您收费。如果您的预订请求被取消、拒绝或过期，则 PayPal 授权将失效，您无需支付任何费用。您可能需要将银行账户或信用卡与您的 PayPal 账户相关联，才能完成您的爱彼迎预订。仅当您的主要方法未通过时，才会使用此备用付款来源。 PayPal 网站提供了有关选择首选付款方式的更多信息。
支付宝付款,根据您使用的支付货币，PayPal 可能可以作为一种支付方式。如果 PayPal 可用，您将能够在结帐页面上选择它。如果您没有看到 PayPal 选项，则需要切换到符合条件的货币或选择其他付款方式。选择 PayPal 作为付款方式后，将弹出一个新的浏览器窗口，您将被带到 PayPal 网站上的登录屏幕： 登录到您的 PayPal 帐户 选择您关联的一种付款方式（例如：信用卡卡或银行账户）在选择支付方式下点击继续 确认支付方式，阅读 PayPal 的政策，然后点击同意并继续 您将被带回 爱彼迎 的结帐页面，您可以在其中确认并支付您的 爱彼迎 预订。一旦 PayPal 授权全额支付预订费用，您的预订请求将被发送（或您的 Instant Book 预订将被确认）。只有在您的预订得到确认后才会向您收费。如果您的预订请求被取消、拒绝或过期，则 PayPal 授权将失效，您无需支付任何费用。您可能需要将银行账户或信用卡与您的 PayPal 账户相关联，才能完成您的爱彼迎预订。仅当您的主要方法未通过时，才会使用此备用付款来源。 PayPal 网站提供了有关选择首选付款方式的更多信息。
Sofort Überweisung 付款,根据您使用的支付货币，PayPal 可能可以作为一种支付方式。如果 PayPal 可用，您将能够在结帐页面上选择它。如果您没有看到 PayPal 选项，则需要切换到符合条件的货币或选择其他付款方式。选择 PayPal 作为付款方式后，将弹出一个新的浏览器窗口，您将被带到 PayPal 网站上的登录屏幕： 登录到您的 PayPal 帐户 选择您关联的一种付款方式（例如：信用卡卡或银行账户）在选择支付方式下点击继续 确认支付方式，阅读 PayPal 的政策，然后点击同意并继续 您将被带回 爱彼迎 的结帐页面，您可以在其中确认并支付您的 爱彼迎 预订。一旦 PayPal 授权全额支付预订费用，您的预订请求将被发送（或您的 Instant Book 预订将被确认）。只有在您的预订得到确认后才会向您收费。如果您的预订请求被取消、拒绝或过期，则 PayPal 授权将失效，您无需支付任何费用。您可能需要将银行账户或信用卡与您的 PayPal 账户相关联，才能完成您的爱彼迎预订。仅当您的主要方法未通过时，才会使用此备用付款来源。 PayPal 网站提供了有关选择首选付款方式的更多信息。
付款失败,你的交易没有通过吗？发生这种情况的原因有很多，包括： 您的信用卡或借记卡已过期 您已超出银行或信用卡公司设置的每日提款或购买限额 您输入的帐单地址和电话号码与与您的信用卡或借记卡相关的帐单地址和电话号码 欺诈预防 您的信用卡或借记卡没有足够的资金来进行付款 请联络您的银行或信用卡公司以获取更多信息。
卡被拒绝,信用卡可能因多种原因被拒绝。 爱彼迎 通常不会被告知具体原因。常见问题 检查您输入的信用卡号和账单地址是否正确，您的卡是否有可用资金，以及您的卡是否未过期。联络您的银行或发卡机构 如果您在尝试付款时遇到错误，我们建议您联络您的银行或信用卡公司以获取更多信息。告知他们金额以及何时尝试收费，以便他们可以让交易通过。如果您的银行或发卡机构无法提供帮助，您可能需要尝试其他付款方式。
两次费用,如果您的付款方式获得授权 某些付款方式或地点要求在您提出请求时获得全额预订授权。如果您的预订被接受，授权将变为真实收费，金额将从您的支付账户中扣除。如果预订请求被拒绝或过期，您将看到授权完全消失或在您的付款帐户中显示为退款。根据您银行的处理时间，授权的解除可能需要长达 7 个工作日。如果向您的付款方式收费 某些付款方式或地点要求在您提出请求时收取全额预订费用。如果您的预订请求被接受，费用仍然存在并且您的预订得到确认。如果预订请求被拒绝或过期，您将立即自动获得退款。根据您银行的处理时间，退款最多可能需要 10 个日历日的处理时间。
暂扣付款,当您提交预订请求时，我们可能会暂停您的付款方式，称为授权，用于全额预订。如果您的预订被接受，授权将变为真实收费，金额将从您的支付账户中扣除。如果您的请求被拒绝或过期，授权将消失或在您的付款帐户中显示为退款。根据您银行的处理时间，授权的解除可能需要长达 7 个工作日。
争议,当有人与他们的银行对收费提出异议时，就会启动一个称为退款的争议流程。什么是退单？拒付是消费者与其银行发起的正式付款纠纷。当某人注意到他们认为是未经授权、不正确或意外的扣款时，他们通常会提出退单。如果您提出了退款申请，则需要联络您的银行，以了解有关其特定流程如何运作的更多详细信息。一旦提出拒付并且争议程序开始，会发生什么？一旦提出拒付，银行最多可能需要 90 天的时间来解决它。您可以通过与您的银行合作来检查此过程的状态或取消它。在退款流程进行期间，您的银行可能会暂时将有争议的金额存入您的账户——请务必注意，该金额直接来自您的银行，而不是爱彼迎。如果确定 爱彼迎 的收费是有效的，那么这些资金可能会被银行收回。如果我对收费提出异议，爱彼迎 是否仍会退款？提出拒付后，爱彼迎无法再直接与您解决争议，您收到的任何退款都将来自您的银行，而不是爱彼迎。
退款查找,在大多数情况下，您的退款金额取决于您的预订取消政策和取消时间。通过开始取消您的住宿或体验，您可以找到特定于您的预订的退款金额和取消政策。您还可以前往旅行并选择您的旅行，或查看您的预订确认电子邮件，了解您的预订取消政策。在以下情况下，您可能有权获得全额退款或高于房东取消政策的标准退款金额： 您因特殊情况而必须取消 由于爱彼迎重新预订和退款政策所涵盖的符合条件的原因而必须取消入住时，如果您的计划因 COVID-19 而发生变化，您遇到了爱彼迎重新预订和退款政策所涵盖的问题，请检查“特殊情况政策”是否适用于您的预订。因 COVID-19 取消住宿的退款需要在入住后 14 天内提供疾病或接触证明。例如：COVID-19 检测呈阳性 医生说明 来自当地政府的通知称您已被暴露 来自接触者追踪应用程序的通知屏幕截图 您的家庭成员的检测结果呈阳性
退款时间,好消息 - 如果您有资格获得退款，您将在 10 天内自动获得退款。也许更早。一旦您取消预订，我们就会将退款发送到您预订时使用的付款方式，但您的银行或信用卡发卡机构可能需要更长时间才能收到退款。这完全取决于您的付款方式和居住地： 24 小时 爱彼迎 for Work 积分 爱彼迎 礼品积分 宏宝积分 PayPal 1 个工作日 支付宝 微信支付 最长 5 个工作日 iDEAL Sofort Überweisung 最长 15 个工作日 主要信用卡，包括预付信用卡和借记卡 其他支付方式 Apple Pay Google Pay Postepay 最多 2 份信用卡对帐单 Aura Elo Hipercard 仅限巴西的主要信用卡 注意：如果您的原始支付方式的帐户已关闭，爱彼迎 发送的退款将不会得到处理。如果发生这种情况，我们会与您联络，您可以选择更新您的付款方式。
退款自动,符合条件的退款将在您点击取消后立即处理。我们通过您预订时使用的付款方式自动处理退款。
退款要求,"如果您想在旅行之前或之后申请退款，可以通过我们的聊天机器人处理任何金额的退款申请。您只需单击命令或输入您要发出的请求，屏幕右下角就会弹出一个表格。

我们建议您在向调解中心提交请求之前，通过您的爱彼迎消息线程与房东讨论任何退款金额。但是，如果您和房东无法达成协议，您可以选择向爱彼迎寻求解决方案的帮助。根据我们的重新预订和退款政策，问题必须在发现 72 小时后报告给爱彼迎

如果您在入住期间遇到问题，我们将帮助您要求房东解决问题、申请退款或申请取消全额退款。请务必在发现旅行问题后 24 小时内提交请求。您的房东将有 1 小时的时间做出回应。如果他们拒绝或没有回应，您可以要求 爱彼迎 介入以提供帮助。"
退款符合条件的旅行,一些旅行问题需要一些额外的帮助。如果您遇到其中任何一种情况，您很可能受到重新预订和退款政策的保护： 无法访问房源，例如，如果房东提供了错误的密码箱密码，而现在无法联络到他们 空间不安全或到达时洁，例如脏床单，或安全隐患 关键设施缺失或无法使用，例如，您想象中的游泳池年久失修 地点与房源描述中的描述不符，可能是房间或床位不同，或缺少无障碍功能 如果您需要提交索赔，请确保： 收集证据： 记录照片或视频的问题 联络我们： 在出现问题后 24 小时内给爱彼迎发消息或致电 保持联络：我们将与您联络，为您提供后续步骤
退款加急,不幸的是，这个不在我们手中。这完全取决于您的付款方式的处理时间。
退款取消,你们都准备好去旅行了，现在有些事情发生了。了解如何取消您的住宿或体验。请注意，您的退款须遵守房东的取消政策。您的退款金额还可能受以下因素影响： 清洁费：如果您在入住前取消，则始终会退款。爱彼迎服务费：如果您在免费取消预订期间取消预订，服务费将退款。现场物业费：如果酒店或其他专业房东在现场收取物业费，是否退款这些费用由房东自行决定。
爱彼迎_服务费,为了帮助 爱彼迎 顺利运行并支付 24/7 客户支持等服务成本，我们在确认预订时收取服务费。住宿有 2 种不同的费用结构：分摊费用和仅限房东的费用。 1. 分摊费用 这种费用结构是最常见的，由主人和客人分摊。房东费用 大多数房东支付 3% 的费用，但有些人支付更多费用，包括： 爱彼迎 Plus 房东 在意大利有房源的房东 有超严格取消政策的房东 该费用是从预订小计中计算出来的（每晚房费 + 清洁费 + 额外房客费，如果适用 - 不包括 爱彼迎 费用和税费），并自动从房东付款中扣除。查看预订的服务费： 转到交易历史记录 选择预订代码 在付款下，找到爱彼迎服务费 客人费用 大多数客人服务费低于预订小计的 14.2%（每晚费用 + 清洁费 + 额外客人费用，如果适用——不包括 爱彼迎 费用和税费）。此费用因各种因素而异，并在您预订前结帐时显示，以便您了解会发生什么。 2. 仅房东费用 在这种结构下，全部费用将从房东支付中扣除。通常为 14-16%，但 爱彼迎 Plus 房东和具有超严格取消政策的房东可能会支付更多费用。传统酒店房源（例如酒店、服务式公寓等）以及连接软件的房东（除非他们的大部分房源位于美国、加拿大、巴哈马、墨西哥、阿根廷、台湾或乌拉圭）必须支付此费用）。所有具有 API 连接的主机都将注册为仅主机费，并且无法选择退出。增值税收费 根据所涉司法管辖区的法律，可能会在上述费用的基础上收取增值税。服务费包括适用的增值税。我们保留随时更改服务费用的权利，并会在费用变更生效前提前通知您。任何费用变更都不会影响费用变更生效日期之前的预订。
价钱,爱彼迎 预订的总价格基于房东设定的每晚房价，加上房东或 爱彼迎 确定的费用或成本。费用类型 爱彼迎 服务费：爱彼迎 收取的宾客服务费——提供 24/7 的社区支持，帮助一切顺利进行。清洁费：由一些房东收取，用于支付洁空间的费用。额外客人费用：一些房东对超出设定人数的每位额外客人收取费用。保证金：使用连接 API 的软件管理房源的房东可以使用我们的离线费用功能设置保证金。了解更多关于保证金的信息。增值税（VAT、JCT 和 GST）：向居住在某些国家/地区的客人收取 - 了解有关增值税的更多信息。地方税：根据房东所在地收取 - 了解更多关于地方税的信息。付款 一旦房东接受您的预订请求，您将被收取费用，如果您使用 Instant Book，您将立即被收取费用。如果您的预订符合特定标准，您可以将预订的总费用分摊到多笔付款中，或者您可以一次性支付全部费用。
退款服务费,如果您需要取消（没关系，事情发生了！），您可能会收到整个预订的退款，包括服务费。那么它是怎样工作的？最重要的是：查看您的预订取消政策，了解服务费是否可退款。如果您在预订的免费取消期结束之前（或入住前的任何时间，在某些情况下意大利和韩国旅客的预订）取消，或者如果房东决定在您取消后全额退款，服务费是可退款的。每晚房费和其他费用的退款 房东的取消政策仍然适用于与您的预订相关的任何其他费用。
定价准确,正如 7 月的旅行计划与 2 月的旅行有很大不同一样，价格也是如此。要查看最准确的旅行价格，请在搜索地点时添加日期。为什么？因为某些房东的自定义价格会覆盖特定日期或时间段（包括节假日、周末和一周或一个月的预订）的默认或最低价格。如果您的房东在您请求更改之前更新了他们的位置的定价，您的新预订将反映此定价。
定价交叉,好消息！你被提供了很多。我们仅在特定夜晚提供的价格比平时低至少 10% 时才会取消价格。谁不喜欢知道他们在做一件好事？折扣类型 每周或每月折扣：房东有时会为至少 7 天的住宿提供每晚价格的折扣。早鸟折扣：当客人在旅行前一定天数预订时，房东可以提供每晚价格的折扣。例如，房东可能会为至少提前 2 个月预订的住宿设置 15% 的折扣。降价：房东在他们选择的特定日期降低价格。我们如何计算降价的真实折扣 我们会随着时间的推移跟踪所有主机的价格。通过查看过去 30 天的中位数价格，我们可以计算出每个主机的平均价格。如果主机在特定日期将其价格降低到低于中位数 10% 或更多，我们会通过划掉原始价格来突出显示节省。它是如何工作的 假设您在六月搜索一个晚上。我们可以看到，在过去的 30 天里，主持人在 4 次不同的场合更改了当晚的价格。我们通过将中间的 2 个价格相加并除以 2 来计算今晚的中位价。 价格 1：90 美元 2 美元：100 美元 3 美元：125 美元 4 美元：140 美元 中位价格：（100 美元 + 125 美元）/2 = 112.50 美元接下来，我们将此中间价与您搜索的当晚的当前价格进行比较。如果当前价格比中位数（本例中为 112.50 美元）至少低 10%，我们会在折扣价旁边显示中位数价格被划掉。例如：112.50 美元 100 美元
定价之夜,如果您向房东提交了行程变更请求并且他们接受了，您的预订将会更新，以反映您房东当前的每日费率。与任何酒店或 B&B 一样，您的房东可能会在您最初预订后提高（或什至降低，如果幸运的话）价格。
清洁费,谁不喜欢进入干净整洁的空间？清洁费是一次性洁您入住的空间的费用，由房东设定。当您预订房源时，这是在每晚房价之上的额外费用。这笔费用包括房东在为客人准备好入住时或离开后产生的额外费用。关于清洁费的须知 在房源搜索结果中，您会看到每晚的费率，其中包括清洁费除以旅行的总夜数。当您提出旅行请求时，每晚费用和清洁费将在价格明细中单独列出。清洁费是预订总额的一部分，不会在旅行结束时退款给客人。
优惠券_如何,请务必在预订前使用优惠券，并记住，如果您取消预订，优惠券将无法再次使用。要使用您的优惠券： 在结帐页面上点击输入优惠券（在您的付款方式下方） 选择优惠券或输入您的优惠券代码并点击应用 其他详细信息 您无法在预订后申请优惠券：即使您联络爱彼迎支持，在您预订（未来或过去）后，我们无法使用当前或过期的优惠券。如果您取消，优惠券将不予退款：退款基于房东的取消政策，我们无法恢复或重新发放您过去兑换的优惠券。失效日期无法调整：优惠券一旦过期，就无法延长失效日期或更换优惠券。过期的优惠券不能用于过去的预订。每次预订限制一张优惠券：无法申请多张优惠券。
优惠券一般,请务必在预订前使用优惠券，并记住，如果您取消预订，优惠券将无法再次使用。要使用您的优惠券： 在结帐页面上点击输入优惠券（在您的付款方式下方） 选择优惠券或输入您的优惠券代码并点击应用 其他详细信息 您无法在预订后申请优惠券：即使您联络爱彼迎支持，在您预订（未来或过去）后，我们无法使用当前或过期的优惠券。如果您取消，优惠券将不予退款：退款基于房东的取消政策，我们无法恢复或重新发放您过去兑换的优惠券。失效日期无法调整：优惠券一旦过期，就无法延长失效日期或更换优惠券。过期的优惠券不能用于过去的预订。每次预订限制一张优惠券：无法申请多张优惠券。
优惠券不工作,仔细检查以确保您使用的是正确的代码。如果它仍然不起作用，请记住以下几点：如果优惠券已过期，则无法重新激活它。每次预订只能使用一张优惠券。一张优惠券只能使用一次。如果您取消使用优惠券预订的预订，优惠券将不再有效。对于 28 晚或以上的预订，如果您在预订时选择付款计划，优惠券将降低总价，金额将分摊到付款中。仅接受 爱彼迎 发行的优惠券。如果您使用的优惠券少于全额，任何未使用的折扣金额将被没收。优惠券不能应用于您过去进行的预订。只有收到优惠券的人才能在 爱彼迎 上使用它。无法将优惠券转让给其他人。优惠券只能用于为其签发的预订类型。例如，如果优惠券只能用于住宿，则不能用于体验，或用于 爱彼迎 上的任何其他内容。如果使用优惠券预订的预订稍后发生更改，您需要使用您的付款方式支付差额，或者，如果更改导致退款，我们会将差额记入您的付款方式。但是，您将不会收到优惠券金额的退款，并且优惠券将无法再次使用。优惠券可能有特定限制；有关详细信息，请参阅随优惠券分发的条款和条件。
优惠券主机取消,如果您的房东取消了您使用优惠券的预订，您的优惠券代码将保持有效，并可用于另一次预订。
优惠券条款,以下条款和条件适用于在爱彼迎平台上使用的优惠券（“爱彼迎优惠券”）。提供的其他补充条款以及优惠券也适用于您对爱彼迎优惠券的使用。爱彼迎优惠券为一次性使用且不可退款。优惠券不可兑换现金、礼品卡或以前购买的商品，也不能转让或与其他优惠、优惠券或折扣组合使用。在涉嫌欺诈、滥用、违反我们的服务条款、付款服务条款或技术错误的情况下，爱彼迎保留采取任何补救措施的权利，包括作废此优惠券。请参阅下面的特定重新预订优惠券的附加条款。重新预订优惠券 作为 AirCover 的一部分，当房东意外取消您的预订或其他旅行问题中断住宿时，爱彼迎可能会向您发放重新预订优惠券。优惠券仅适用于入住日期在优惠券发放之日起一年内的住宿。重新预订优惠券自发行后 30 天到期。有关更多信息，请参阅爱彼迎关于优惠券到期日期的通信。重新预订优惠券只能用于预订价值（不包括税费）等于或大于重新预订优惠券价值的住宿预订。
推荐券_旅行积分,如果您通过邀请链接加入爱彼迎获得了旅行积分如果您使用推荐链接注册了爱彼迎，当您支付第一次符合条件的预订时，您的推荐优惠券将自动出现在结帐页面上。您必须有符合条件的预订才有资格获得推荐旅行积分。符合条件的预订必须满足最低价值，其中不包括任何税费。由于最低金额可能会有所不同，因此您应该参考收到的邀请电子邮件或前往邀请页面查看有关哪些预订符合条件的详细信息。如果您通过邀请朋友加入 爱彼迎 获得了旅行积分如果您的朋友使用您的推荐链接注册了 爱彼迎 并完成了符合条件的预订，那么旅行积分将自动添加到您的帐户中。当您为下一次预订付款时，您的旅行积分将显示在结帐页面上。请记住，一旦您的朋友完成符合条件的旅行，您将获得旅行积分。如果您的旅行积分尚未显示，则意味着您的朋友尚未完成他们的旅行或他们的预订不符合条件。
推荐券不见,如果您使用推荐链接注册了 爱彼迎，当您为第一次符合条件的预订付款时，推荐优惠券应该会自动出现在结帐页面上。阅读有关符合条件的预订和旅行积分的更多信息。如果您的推荐优惠券没有出现，您可以按照以下步骤找回您的信用。您将需要收到的推荐链接，该链接可能在您的电子邮件、短信或社交媒体帖子中。或者，您可以使用推荐您的人的电子邮件地址——但这只有在与他们用于爱彼迎账户的电子邮件地址相同时才有效。
礼品卡重量,您可以在商店和网上或直接从我们这里获得 爱彼迎 礼品卡！根据您购买礼品卡的地点，您可以获得发送给您或您的收件人的实体卡或数字卡。目前，礼品卡仅在以下国家/地区可用： 澳大利亚 奥地利 比利时 加拿大 芬兰 法国 德国 爱尔兰 意大利 墨西哥* 荷兰 新西兰 西班牙 瑞典 英国 美国 * - 礼品卡仅可通过第三方零售商购买 重要信息：目前，只能为与您在同一国家或地区的人购买礼品卡，并且收件人必须在该国家/地区拥有有效的付款方式。如果您位于欧洲经济区 (EEA) 区域内的某个国家/地区（法国、意大利、西班牙、德国、奥地利、比利时、芬兰、爱尔兰、荷兰和瑞典），您可以为以下地区的其他人购买礼品卡那些 EEA 国家，只要收件人在该国家/地区拥有有效的付款方式。兑换礼品卡后，可用于世界各地的任何住宿或体验。
发票客人,在爱彼迎生成增值税发票的地区，您可以访问每个预订的单独增值税发票或批量下载增值税发票。要访问预订的增值税发票： 转到预订（您需要在台式计算机或浏览器上登录您的帐户） 如果未显示您要查找的预订，请单击已完成选项卡 单击三个预订旁边的点 选择增值税发票 要为您的预订批量访问增值税发票： 转到预订（您需要在台式计算机或浏览器上登录您的帐户） 选择导出 选择下载增值税发票 选择您的文件类型（ CSV 或 PDF 格式）并选择您要下载的月份 选择下载 注意：批量下载将包括开始日期在所选月份内的预订的增值税发票。如果您将经过验证的增值税 ID 号添加到您的帐户，它将包含在之后创建的增值税发票中。有关预订详情，请查看您的房东确认信息。
收据添加信息,收据发出后，您将无法对其进行添加或编辑。您的账单收据基于您在预订时提供的信息。但是，您可以在预订后更改行程。这包括添加以下信息： 客人姓名和号码（在预订结束前可编辑） 营业地址或帐单地址（随时可编辑） 护照号码 出生日期 客人姓名 税号
收据查找,前往行程并选择您想要收据的行程 单击显示更多行程计划 在显示详细信息中，单击获取收据 选择付款并单击获取收据
